省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5104,吉林大学,17,工商管理类,理科,本一批,598,600,603,5440,10
福建,2018,5104,吉林大学,01,经济学类(经济学院(含:经济学、财政学、金融学、国际经济与贸易)),文科,本一批,617,618,618,974,2
福建,2018,5104,吉林大学,02,法学,文科,本一批,619,620,620,883,3
福建,2018,5104,吉林大学,03,政治学与行政学(按类招。含政治学与行政学、国际政治、行政管理专业),文科,本一批,614,615,616,1103,3
福建,2018,5104,吉林大学,04,外交学,文科,本一批,616,616,616,1007,2
福建,2018,5104,吉林大学,05,新闻传播学类(含:新闻学、广告学),文科,本一批,614,616,617,1103,2
福建,2018,5101,华中科技大学,01,经济学类(含:经济学(实验班)、经济统计学、国际经济与贸易),理科,本一批,636,637,637,1627,2
福建,2018,5101,华中科技大学,02,物理学类(含:物理学、应用物理学),理科,本一批,639,643,646,1441,2
福建,2018,5101,华中科技大学,03,物理学(基础学科拔尖人才培养实验班),理科,本一批,644,646,648,1162,2
福建,2018,5101,华中科技大学,04,物理学(严济慈物理学英才班),理科,本一批,636,637,638,1627,2
福建,2018,5101,华中科技大学,05,生物科学类(含:生物技术、生物制药、生物科学(国家理科培养基地)),理科,本一批,636,640,642,1627,4
